UniProt_A	GeneSymbol_A	UniProt_B	GeneSymbol_B	Databases	PubMed_IDs	Undirected	Direction_A-B	Direction_B-A	Stimulatory_A-B	Inhibitory_A-B	Stimulatory_B-A	Inhibitory_B-A	Category
Q8BGI1	Rnf24	Q9QUQ5	Trpc4	TRIP	17850865		TRIP			TRIP			PPI
Q8BGI1	Rnf24	Q61143	Trpc6	BioGRID;TRIP	17850865	BioGRID	TRIP			TRIP			PPI
Q99MJ6	Pdzd3	Q91WD2	Trpv6	TRIP	17645868		TRIP		TRIP				PPI
Q99MJ6	Pdzd3	P69744	Trpv5	TRIP	16565876	TRIP							PPI
Q99MJ6	Pdzd3	P26361	Cftr	HPRD	1553237	HPRD							PPI
Q99MJ6	Pdzd3	Q3UWA6	Gucy2c	HPRD;BioGRID;PhosphoPoint	11950846	HPRD;BioGRID		PhosphoPoint					PPI
Q99MJ6	Pdzd3	P43252	Ptgir	BioGRID	22884631	BioGRID							PPI
P61168	Drd2	P49615	Cdk5	MIMP				MIMP					PPI
P61168	Drd2	Q61056	Trpc1	TRIP	18261457		TRIP		TRIP				PPI
P61168	Drd2	Q61327	Slc6a3	HPRD;IntAct	17380124	HPRD;IntAct	KEGG		KEGG				PPI
P61168	Drd2	Q9DC51	Gnai3	HPRD;CA1	2898118;1445393;10384262;10978845	HPRD	CA1		CA1				PPI
P61168	Drd2	Q925B0	Pawr	BioGRID	16051151	BioGRID							PPI
P61168	Drd2	P62881	Gnb5	BioGRID	25162404	BioGRID	KEGG		KEGG				PPI
P61168	Drd2	P18872	Gnao1	CA1	1445393		CA1		CA1				PPI
P61168	Drd2	Q60613	Adora2a	HPRD;BioGRID;IntAct	12804599;19632986	HPRD;BioGRID;IntAct							PPI
P61168	Drd2	O70443	Gnaz	HPRD;CA1	10384262;9166747	HPRD	CA1		CA1				PPI
P61168	Drd2	O08858	Sstr5	HPRD	10753124	HPRD							PPI
Q01279	Egfr	Q8K424	Trpv3	TRIP	20403327		TRIP		TRIP				PPI
Q01279	Egfr	Q9Z2V5	Hdac6	MIMP;BioGRID;PhosphoSite;Signor;IntAct	20029029;20133936;25402006;24658140	BioGRID;IntAct	PhosphoSite_dir;PhosphoSite;MIMP;Signor			Signor			PPI
Q01279	Egfr	P49817	Cav1	SignaLink3;CancerCellMap;HPRD;BioGRID;SPIKE;InnateDB;IntAct;PhosphoPoint	18789131;17145710;10781609;16799092;9374534;16407214;19446582;12388423;25402006;24658140;15273741;22411794	CancerCellMap;HPRD;BioGRID;SPIKE;InnateDB;IntAct	SignaLink3;PhosphoPoint	SPIKE			SPIKE		PPI
Q01279	Egfr	O35245	Pkd2	TRIP	16135816	TRIP							PPI
Q01279	Egfr	Q9QZS3	Numb	IntAct;PhosphoPoint	16273093	IntAct	PhosphoPoint						PPI
Q01279	Egfr	P35821	Ptpn1	phosphoELM;InnateDB;BioGRID;PhosphoSite;Signor;Li2012;PhosphoPoint;SignaLink3;DEPOD;HPRD;MIMP;IntAct	15982634;9355745;8999839;12424235;9050838;8621392;21123182;10889023;7540771;25402006;24658140;7693694;25796184;12573287;11506178	HPRD;BioGRID;InnateDB;IntAct	phosphoELM;PhosphoSite;Li2012;Signor;PhosphoPoint;PhosphoSite_dir;SignaLink3;MIMP	SignaLink3;DEPOD	Signor				PPI
Q01279	Egfr	P51637	Cav3	HPRD;BioGRID;PhosphoPoint	9374534	HPRD;BioGRID	PhosphoPoint						PPI
Q01279	Egfr	P29452	Casp1	HPRD;InnateDB;SignaLink3;PhosphoPoint	11226410	HPRD;InnateDB	SignaLink3;PhosphoPoint	SignaLink3					PPI
Q01279	Egfr	P29754	Agtr1a	HPRD;PhosphoPoint	12522132	HPRD	PhosphoPoint						PPI
Q01279	Egfr	Q9D1M0	Sec13	HPRD;InnateDB;SignaLink3	16799092	HPRD;InnateDB	SignaLink3						PPI
Q01279	Egfr	P10107	Anxa1	phosphoELM;MIMP;HPRD;PhosphoSite;Signor;IntAct;PhosphoPoint	24103589;16052208;24782913;2457390;20029029;15581623	HPRD;IntAct	PhosphoSite_dir;phosphoELM;MIMP;PhosphoSite;Signor;PhosphoPoint		Signor				PPI
Q01279	Egfr	P48193	Epb41	HPRD-phos;phosphoELM;MIMP;HPRD;CA1;PhosphoSite;Signor;PhosphoPoint	1647028	HPRD	HPRD-phos;phosphoELM;CA1;PhosphoSite;Signor;PhosphoPoint;PhosphoSite_dir;MIMP		CA1	Signor			PPI
