UniProt_A	GeneSymbol_A	UniProt_B	GeneSymbol_B	Databases	PubMed_IDs	Undirected	Direction_A-B	Direction_B-A	Stimulatory_A-B	Inhibitory_A-B	Stimulatory_B-A	Inhibitory_B-A	Category
Q01279	Egfr	P25911	Lyn	SignaLink3;PhosphoSite_noref;HPRD;BioGRID;InnateDB;IntAct	16799092;25402006;24658140;23866081;23764002	HPRD;BioGRID;InnateDB;IntAct	PhosphoSite_dir;SignaLink3;PhosphoSite_noref						PPI
Q01279	Egfr	P05132	Prkaca	HPRD;BioGRID;PhosphoPoint	9050991;12589790	HPRD;BioGRID		PhosphoPoint					PPI
Q01279	Egfr	P05480	Src	HPRD-phos;phosphoELM;PhosphoSite_noref;BioGRID;PhosphoSite;SPIKE;Signor;InnateDB;PhosphoPoint;Li2012;SignaLink3;CancerCellMap;HPRD;MIMP;IntAct	19377510;18789131;10075741;14963038;8845374;11983694;14530278;19704002;12101233;26936397;14764607;25884760;21080693;15899872;25537504;19836242;14512423;21399647;17575160;26290602;21278788;16505275;12397069;25573954;28759036;17523611;20421302;26150526;20215522;25958313;26494466;11756413;20562096;19690143;16461772;15708852;16037379;17646646;16843263;20926745;23246962;18451158;19935697;24919575;15657067;20190765;17561374;25347738;11960379;25159151;20371672;18460189;18180459;18271526;18234969;27716204;15615697;19305428;23376850;28102297;24349301;12842895;15592458;16729043;16943190;17653080;12063263;19154417;20628053;16936701;20071362;17237269;20407013;15660394;18687633;21787862;15618223;16849545;14523024;18083107;24797263;18707149;15548697;15282306;19336574;17551925;16862179;9777370;23636329;16543144;7797556;2543678;15476828;2803273;16799092;17016520;18669648;17389395;15951569;10358079;10777553;10971656;17158602;21573184;20333651;17284441;23175185;21268077;25402006;24658140;24189400;28065597;20935677	CancerCellMap;HPRD;BioGRID;InnateDB;IntAct	Li2012;KEGG;ACSN;PhosphoPoint	HPRD-phos;phosphoELM;PhosphoSite_noref;PhosphoSite;SPIKE;Signor;Li2012;PhosphoPoint;PhosphoSite_dir;SignaLink3;CancerCellMap;MIMP;KEGG	KEGG		SPIKE;SignaLink3;KEGG;Signor		PPI
Q01279	Egfr	P39447	Tjp1	HPRD;PhosphoPoint	12708492	HPRD	PhosphoPoint						PPI
Q01279	Egfr	P09803	Cdh1	SignaLink3;HPRD;BioGRID;InnateDB;IntAct;PhosphoPoint	17548604;10969083;25402006;25241761;24658140;24189400;25468996	HPRD;BioGRID;InnateDB;IntAct	SignaLink3;ACSN;PhosphoPoint						PPI
Q01279	Egfr	Q04736	Yes1	IntAct;PhosphoPoint	23866081	IntAct	PhosphoPoint						PPI
Q01279	Egfr	Q62388	Atm	PhosphoSite_noref			PhosphoSite_dir;PhosphoSite_noref						PPI
Q01279	Egfr	P01101	Fos	SignaLink3;IntAct;PhosphoPoint	15950906;25241761	IntAct	SignaLink3;PhosphoPoint	ACSN					PPI
Q01279	Egfr	Q02248	Ctnnb1	HPRD;BioGRID;PhosphoSite;MIMP;PhosphoPoint	24240237;27401557;15371335;17318191;25500543;22558232;17052462;12740122;21423209;19104148;14517306;16952352;9535896;11950845;9233779;24189400	HPRD;BioGRID	PhosphoSite_dir;ACSN;PhosphoSite;MIMP;KEGG;PhosphoPoint			KEGG			PPI
Q01279	Egfr	Q9JLM9	Grb14	HPRD;PhosphoPoint	8647858	HPRD	PhosphoPoint						PPI
Q01279	Egfr	Q61501	E2f1	SPIKE	16299810		SPIKE		SPIKE				PPI
Q01279	Egfr	O88597	Becn1	PhosphoSite_noref;PhosphoSite;IntAct	24034250	IntAct	PhosphoSite_dir;PhosphoSite;PhosphoSite_noref						PPI
Q01279	Egfr	Q03145	Epha2	HPRD;PhosphoPoint	15657067	HPRD	ACSN;PhosphoPoint	ACSN					PPI
Q01279	Egfr	Q06180	Ptpn2	DEPOD;HPRD;Signor;IntAct;PhosphoPoint	11514572;15592458;11479308;9488479;10488121;15588985	HPRD;IntAct	PhosphoPoint	Signor;DEPOD				Signor	PPI
Q01279	Egfr	Q9QUN7	Tlr2	BioGRID;SignaLink3;IntAct;InnateDB	17126326;25402006;24658140	BioGRID;InnateDB;IntAct		SignaLink3					PPI
Q01279	Egfr	O88890	Sh2d1a	IntAct;PhosphoPoint	16273093	IntAct	PhosphoPoint						PPI
Q01279	Egfr	P52480	Pkm	PhosphoSite	26759242		PhosphoSite_dir;PhosphoSite						PPI
Q01279	Egfr	P05784	Krt18	HPRD;PhosphoPoint;CancerCellMap	12577067	HPRD;CancerCellMap	PhosphoPoint						PPI
Q01279	Egfr	P48030	Tgfa	SignaLink3;HPRD;BioGRID;SPIKE;Signor;IntAct;PhosphoPoint	12648464;17145710;12297049;1020916;16585207;25402006;24658140	HPRD;BioGRID;SPIKE;IntAct	ACSN;PhosphoPoint	SPIKE;Signor;SignaLink3;KEGG			SPIKE;SignaLink3;KEGG;Signor		PPI
Q01279	Egfr	Q05769	Ptgs2	BioGRID	24797263;15282306	BioGRID	PhosphoPoint						PPI
Q01279	Egfr	P00520	Abl1	MIMP;PhosphoSite;BioGRID;SPIKE;Li2012;Signor;IntAct;PhosphoPoint	20841568;16943190;25173817;7741752;2022652;12631709;10069801;15329413;2022651;26079946;3263271;15192046;8490966;25073158;12771140;19915609;25779657;8910327;8408058;24430869;7935386;1314835;9733788;18668345;14760089;7506413;28724430;11304462;16273093;25402006;24658140	BioGRID;IntAct		PhosphoSite_dir;MIMP;PhosphoSite;SPIKE;Li2012;Signor;PhosphoPoint			SPIKE;Signor		PPI
Q01279	Egfr	P16054	Prkce	BioGRID;MIMP;IntAct	25402006;24658140	BioGRID;IntAct		MIMP;ACSN					PPI
Q01279	Egfr	P01132	Egf	SignaLink3;DIP;CancerCellMap;HPRD;BioGRID;SPIKE;Signor;IntAct;PhosphoPoint	20458382;2186024;12648462;12297050;12093292;10085134;19531499;18271526;25241761;25080504;12620237;25453753;26280537;22729867;3494473;17697999;8663535;18427122;21822280;11684674;10970856;2790960;21439278;16274239;15620700;10788520	CancerCellMap;HPRD;BioGRID;DIP;IntAct	ACSN;PhosphoPoint	SPIKE;Signor;SignaLink3;KEGG			SPIKE;SignaLink3;KEGG;Signor		PPI
Q01279	Egfr	P07901	Hsp90aa1	BioGRID;IntAct;PhosphoPoint	12006493;16849543;16024644;12471035;23956138;25402006;24658140;20029029	BioGRID;IntAct	PhosphoPoint						PPI
Q01279	Egfr	Q62077	Plcg1	HPRD-phos;phosphoELM;CA1;SPIKE;BioGRID;Signor;Li2012;PhosphoPoint;SignaLink3;HPRD;MIMP;IntAct	16713569;12648464;16273093;7805859;1689310;2472219;9176240;12601080;19901323;15144186;20068231;17389395;8657103;16497976;7682059;17016520;8885868;12061819;9207933;9756944;12803489;24797263;11983899;19605547;9020117;7993895;14568990;7693694	HPRD;BioGRID;SPIKE;IntAct	HPRD-phos;phosphoELM;CA1;Li2012;Signor;ACSN;PhosphoPoint;SignaLink3;MIMP;KEGG		CA1;SignaLink3;KEGG;Signor				PPI
Q01279	Egfr	Q60631	Grb2	HPRD-phos;phosphoELM;LMPID;CA1;DIP;SPIKE;BioGRID;Signor;InnateDB;PhosphoPoint;Li2012;SignaLink3;HPRD;MIMP;IntAct	16317285;11726515;11084343;12648464;16713569;8887653;7518560;16799092;16829981;8479540;1322798;8491186;16729043;12577067;11960376;10085134;7527043;9050991;8647858;7510700;10026169;17971399;17242169;20124286;19531499;21596750;17372273;9886492;19836242;9416834;11408594;10595738;7592693;19289468;18271526;9363897;21706016;8662998;16273093;23799367;23027125;23956138;7506413;24797263;11370743;25402006;24658140;24189400;27059931;20676128;7650032;8810340;20473329;19254954;11896612;14679214;10229072;9020117;21278786;8940013;8810325	LMPID;InnateDB;DIP;BioGRID;SPIKE;Signor;HPRD;IntAct	HPRD-phos;phosphoELM;CA1;SPIKE;Li2012;ACSN;PhosphoPoint;SignaLink3;MIMP;KEGG		CA1;SPIKE;SignaLink3;KEGG	SignaLink3			PPI
Q01279	Egfr	Q9WUD1	Stub1	BioGRID;IntAct	20029029;24722501;25402006;24658140;27475501	BioGRID;IntAct							PPI
Q01279	Egfr	P42227	Stat3	SignaLink3;CancerCellMap;HPRD;BioGRID;SPIKE;Signor;InnateDB;PhosphoPoint;IntAct	15950906;22693070;14967450;15485908;10358079;9756944;21573184;15284024;20145033;23956138;25402006;25241761;24658140;24189400;18258752;24135280;12070153;14963038;12873986;14966128	HPRD;BioGRID;InnateDB;IntAct	SignaLink3;CancerCellMap;SPIKE;Signor;PhosphoPoint	SignaLink3	SPIKE;Signor				PPI
Q01279	Egfr	P22682	Cbl	HPRD-phos;LMPID;BioGRID;Li2012;Signor;PhosphoPoint;SignaLink3;CancerCellMap;HPRD;MIMP;IntAct	15210722;18273061;16246327;15668240;16969069;17242169;17486068;19531499;15282549;20940296;17971399;17545148;10514377;12604776;14627991;15962011;18508924;19225046;12061819;10086340;10428778;15107835;21772844;14505571;12734385;16105874;19713535;17995934;18316398;15159412;12593795;16829981;11823423;20332299;10635327;15737992;11239464;11994282;17389395;15556646;16497976;10092522;9890970;10799548;20029031;20124286;20877636;22203672;17372273;17139251;14691459;22591401;16849543;15465819;9756944;9130710;11370743;8550620;17880946;15383614;15117950;19836242;22833562;19578043;17182860;16923119;12803489;11408594;7782294;7592693;22394513;18271526;22266821;19155296;20298671;23158001;23153581;23175185;23418353;20562913;15677445;8662998;23457600;9178769;7657591;23774213;23799367;9121472;23897813;23027125;19947936;24714105;24797263;22976291;25140053;15735736;26055326;25521828;26177020;25872741;27059931;28198003;16729043;8798643	LMPID;CancerCellMap;HPRD;BioGRID;IntAct	HPRD-phos;Li2012;MIMP;PhosphoPoint;Signor	SignaLink3;CancerCellMap;Signor;ACSN	Signor		SignaLink3	Signor	PPI
Q01279	Egfr	P42230	Stat5a	SignaLink3;CancerCellMap;HPRD;BioGRID;SPIKE;Signor;IntAct;PhosphoPoint	18586824;16729043;10358079;25402006;24658140;24135280;22729867	HPRD;BioGRID;IntAct;CancerCellMap	SignaLink3;SPIKE;Signor;KEGG;PhosphoPoint		SPIKE;SignaLink3;KEGG;Signor				PPI
Q01279	Egfr	Q80XL1	Cblc	CancerCellMap;HPRD;BioGRID;SPIKE;PhosphoPoint	10362357;10571044;22888118	HPRD;BioGRID;SPIKE;CancerCellMap	PhosphoPoint	ACSN					PPI
Q01279	Egfr	P37238	Pparg	BioGRID;PhosphoSite	26718225	BioGRID	PhosphoSite_dir;PhosphoSite						PPI
Q01279	Egfr	P11798	Camk2a	HPRD-phos;phosphoELM;MIMP;HPRD;Signor;PhosphoPoint	10347170;20068231;18691976;18669648;16799092;20166139;17389395;1309762	HPRD		HPRD-phos;phosphoELM;MIMP;Signor;PhosphoPoint				Signor	PPI
Q01279	Egfr	P33434	Mmp2	SPIKE	15313914			SPIKE			SPIKE		PPI
Q01279	Egfr	P17918	Pcna	MIMP;PhosphoSite;BioGRID;SPIKE;Signor	17115032;25825764;22692198	BioGRID	PhosphoSite_dir;MIMP;PhosphoSite;SPIKE;Signor		SPIKE;Signor				PPI
Q01279	Egfr	P26450	Pik3r1	HPRD;BioGRID;Signor;IntAct;PhosphoPoint	26918608;14967450;19531499;21701776;8662998;16273093;25241761;7797556	HPRD;BioGRID;IntAct	Signor;ACSN;PhosphoPoint		Signor				PPI
Q01279	Egfr	P25322	Ccnd1	SPIKE;PhosphoPoint	7945309		SPIKE;PhosphoPoint		SPIKE				PPI
Q01279	Egfr	P09450	Junb	SPIKE	12791272			SPIKE			SPIKE		PPI
Q01279	Egfr	P68134	Acta1	HPRD;PhosphoPoint	1808202;1383230	HPRD	PhosphoPoint						PPI
Q01279	Egfr	P63101	Ywhaz	HPRD;BioGRID;IntAct;PhosphoPoint	19531499;23956138;25402006;24658140;15225635;15389569	HPRD;BioGRID;IntAct	PhosphoPoint						PPI
Q01279	Egfr	P98083	Shc1	LMPID;CA1;DIP;PhosphoSite;BioGRID;Signor;PhosphoPoint;Li2012;SignaLink3;HPRD;MIMP;IntAct	7518560;8808684;7681824;11350724;9388490;7542744;7537849;16729043;9544989;19531499;9756944;9130710;11370743;9722539;11408594;10595738;18271526;10049786;10635327;8662998;16273093;7538132;23799367;23956138;12218049;7506413;24797263;25402006;24658140;24189400;20676128;8810340;10766863;28065597;24430869;20473329;26551075;9742218;20935677;8034616;23178716;12577067;8887653	LMPID;HPRD;BioGRID;DIP;IntAct	CA1;PhosphoSite;Li2012;Signor;ACSN;PhosphoPoint;PhosphoSite_dir;SignaLink3;MIMP		CA1;SignaLink3;Signor				PPI
Q01279	Egfr	P08046	Egr1	SPIKE	11830539			SPIKE			SPIKE		PPI
Q01279	Egfr	Q60855	Ripk1	HPRD;PhosphoPoint;CancerCellMap	11116146	HPRD;CancerCellMap	PhosphoPoint						PPI
Q01279	Egfr	Q99MB1	Tlr3	PhosphoSite_noref			PhosphoSite_dir;PhosphoSite_noref						PPI
Q01279	Egfr	Q9JJ00	Plscr1	HPRD;BioGRID;PhosphoPoint;CancerCellMap	12009895;12871937	HPRD;BioGRID;CancerCellMap	PhosphoPoint						PPI
Q01279	Egfr	Q921Q7	Rin1	Signor;IntAct	12783862;17403676	IntAct		Signor			Signor		PPI
Q01279	Egfr	P11679	Krt8	HPRD;PhosphoPoint;CancerCellMap	12577067	HPRD;CancerCellMap	PhosphoPoint						PPI
Q01279	Egfr	Q61084	Map3k3	BioGRID;IntAct	25402006;24658140	BioGRID;IntAct	ACSN						PPI
Q01279	Egfr	P40237	Cd82	HPRD;PhosphoPoint	10985391	HPRD	PhosphoPoint						PPI
Q01279	Egfr	Q9QYY0	Gab1	HPRD-phos;phosphoELM;PhosphoSite_noref;BioGRID;PhosphoSite;Li2012;Signor;PhosphoPoint;SignaLink3;CancerCellMap;HPRD;MIMP;IntAct	9890893;9658397;10734310;17389395;10978177;16497976;19901323;17016520;20068231;18669648;11432805;18271526;25402006;24658140;23066441	HPRD;BioGRID;IntAct	HPRD-phos;phosphoELM;PhosphoSite_noref;PhosphoSite;Li2012;Signor;ACSN;PhosphoPoint;PhosphoSite_dir;SignaLink3;CancerCellMap;MIMP;KEGG		SignaLink3;KEGG;Signor				PPI
Q01279	Egfr	P16858	Gapdh	SignaLink3;HPRD;BioGRID;InnateDB;IntAct	16799092;23956138;25402006;24658140;20029029	HPRD;BioGRID;InnateDB;IntAct	SignaLink3						PPI
Q01279	Egfr	Q99N57	Raf1	BioGRID;IntAct	25402006;24658140	BioGRID;IntAct	ACSN						PPI
Q01279	Egfr	P42232	Stat5b	HPRD-phos;phosphoELM;BioGRID;Signor;PhosphoPoint;CancerCellMap;HPRD;MIMP;IntAct	11751923;17016520;10558875;22729867;16729043	HPRD;BioGRID;IntAct;CancerCellMap	HPRD-phos;phosphoELM;MIMP;CancerCellMap;Signor;PhosphoPoint		Signor				PPI
Q01279	Egfr	Q9QUK6	Tlr4	InnateDB;SignaLink3;IntAct	17126326	InnateDB;IntAct		SignaLink3					PPI
Q01279	Egfr	P97864	Casp7	InnateDB;SignaLink3	11226410	InnateDB	SignaLink3						PPI
Q01279	Egfr	P16277	Blk	BioGRID;IntAct;PhosphoPoint	16273093;25402006;24658140	BioGRID;IntAct		PhosphoPoint					PPI
Q01279	Egfr	P47811	Mapk14	MIMP;PhosphoSite_noref;SPIKE;Signor;IntAct	19138820;16932740;23397142	IntAct		PhosphoSite_dir;PhosphoSite_noref;SPIKE;MIMP;ACSN;Signor				SPIKE;Signor	PPI
Q01279	Egfr	P68433	Hist1h3a	IntAct;PhosphoPoint	12577067	IntAct	PhosphoPoint						PPI
Q01279	Egfr	Q64010	Crk	HPRD-phos;MIMP;Li2012;HPRD;CA1;BioGRID;Signor;IntAct;PhosphoPoint	8662907;9642287;9480911;11956190;8875975;12198159;20068231;17016520;16729043;10595738;9617486;16273093;25402006;24658140	HPRD;CA1;BioGRID;IntAct	HPRD-phos;MIMP;Li2012;Signor;KEGG;PhosphoPoint		KEGG	Signor			PPI
Q01279	Egfr	Q61527	Erbb4	HPRD;BioGRID;SPIKE;IntAct;PhosphoPoint	10572067;12648464;17145710;23153581;25140053	HPRD;BioGRID;SPIKE;IntAct	ACSN;PhosphoPoint	ACSN					PPI
Q01279	Egfr	P97477	Aurka	IntAct	23520446	IntAct							PPI
Q01279	Egfr	Q9R0T8	Ikbke	PhosphoSite;PhosphoSite_noref	27287717		PhosphoSite_dir;PhosphoSite;PhosphoSite_noref						PPI
Q01279	Egfr	P70424	Erbb2	HPRD-phos;BioGRID;SPIKE;Li2012;Signor;PhosphoPoint;SignaLink3;HPRD;MIMP;IntAct	16516204;16713569;10572067;12648464;11279155;8816440;12354693;16799092;18669648;18691976;17389395;9363897;10635327;17016520;17426253;1706616;11500516;19060928;17486068;16207817;17307140;11408594;21044682;23027125;25241761;24189400;20211985;18803307;23436906;21203579;17148612;21278786;19650109;24557338;16843263;11500850	HPRD;BioGRID;SPIKE;IntAct	HPRD-phos;SignaLink3;MIMP;Li2012;Signor;ACSN;PhosphoPoint	HPRD-phos;SignaLink3;MIMP;ACSN;Signor	SignaLink3;Signor		SignaLink3;Signor		PPI
Q01279	Egfr	P29351	Ptpn6	HPRD-phos;DEPOD;CancerCellMap;HPRD;BioGRID;Signor;IntAct;PhosphoPoint	9733788;9038217;7673163;28065597;7518460	HPRD;BioGRID;IntAct;CancerCellMap	PhosphoPoint;CancerCellMap	HPRD-phos;Signor;DEPOD				Signor	PPI
Q01279	Egfr	P05622	Pdgfrb	HPRD;PhosphoPoint	9506992	HPRD	ACSN;PhosphoPoint	ACSN					PPI
Q01279	Egfr	P35569	Irs1	IntAct;PhosphoPoint	16273093	IntAct	PhosphoPoint						PPI
Q01279	Egfr	P26039	Tln1	IntAct;PhosphoPoint	16273093	IntAct	PhosphoPoint						PPI
Q01279	Egfr	P97313	Prkdc	SPIKE;IntAct	18789131;18237807;23178489	IntAct	SPIKE		SPIKE				PPI
Q01279	Egfr	P02340	Tp53	SPIKE	18431400			SPIKE			SPIKE		PPI
Q01279	Egfr	P35235	Ptpn11	SignaLink3;DEPOD;CancerCellMap;HPRD;BioGRID;InnateDB;IntAct;PhosphoPoint	12270932;12582165;14560030;16729043;7673163;9756944;16273093;28065597;20473329;8959326;8197172;11223155	CancerCellMap;HPRD;BioGRID;InnateDB;IntAct	SignaLink3;KEGG;PhosphoPoint	SignaLink3;DEPOD;CancerCellMap	KEGG			SignaLink3	PPI
Q01279	Egfr	P48964	Cdc25a	HPRD;BioGRID;DEPOD;PhosphoPoint	11912208	HPRD;BioGRID	PhosphoPoint	DEPOD					PPI
Q01279	Egfr	Q8CJG0	Ago2	PhosphoSite;MIMP;IntAct;DIP	25036361;21071408;26443379;25175024;23636329	DIP;IntAct	PhosphoSite_dir;PhosphoSite;MIMP						PPI
Q01279	Egfr	Q03160	Grb7	HPRD;SPIKE;PhosphoPoint	12853971;9710451	HPRD;SPIKE	PhosphoPoint						PPI
Q01279	Egfr	P19785	Esr1	SignaLink3;HPRD;BioGRID;Signor;IntAct;PhosphoPoint	11887937;17284441;28065597	HPRD;BioGRID;IntAct	SignaLink3;Signor;PhosphoPoint		SignaLink3;Signor				PPI
Q01279	Egfr	O35716	Socs1	HPRD;PhosphoPoint;CancerCellMap	12070153	HPRD;CancerCellMap	PhosphoPoint						PPI
Q01279	Egfr	Q62101	Prkd1	HPRD;PhosphoPoint;CancerCellMap	2984676;10523301;2987962	HPRD		PhosphoPoint;CancerCellMap					PPI
Q01279	Egfr	P68404	Prkcb	MIMP				MIMP;ACSN					PPI
Q01279	Egfr	Q9WVI9	Mapk8ip1	IntAct;PhosphoPoint	16273093	IntAct	PhosphoPoint						PPI
Q01279	Egfr	P30999	Ctnnd1	HPRD-phos;MIMP;HPRD;BioGRID;Signor;IntAct;PhosphoPoint	14996911;20068231;17389395;17016520;9535896;24797263;25402006;24658140;24189400;27316454	HPRD;BioGRID;Signor;IntAct	HPRD-phos;ACSN;MIMP;KEGG;PhosphoPoint			KEGG			PPI
Q01279	Egfr	P11440	Cdk1	phosphoELM;MIMP;BioGRID;PhosphoSite;Signor;IntAct	8360196;18271526;23956138;25402006;24658140	BioGRID;IntAct		PhosphoSite_dir;phosphoELM;MIMP;PhosphoSite;Signor				Signor	PPI
Q01279	Egfr	Q60760	Grb10	HPRD;BioGRID;IntAct;PhosphoPoint	9506989;25402006;24658140;9006901	HPRD;BioGRID;IntAct	PhosphoPoint						PPI
Q01279	Egfr	Q62120	Jak2	HPRD-phos;SignaLink3;MIMP;HPRD;BioGRID;Li2012;InnateDB;IntAct;PhosphoPoint	15284024;16799092;18669648;18691976;17389395;9363897;10635327;17016520;10358079;9038232;16273093;23838182	HPRD;BioGRID;InnateDB;IntAct	Li2012;PhosphoPoint	HPRD-phos;SignaLink3;PhosphoPoint;MIMP					PPI
Q01279	Egfr	Q02956	Prkcz	BioGRID;IntAct	25402006;24658140	BioGRID;IntAct		ACSN					PPI
Q01279	Egfr	P13516	Scd1	PhosphoSite_noref			PhosphoSite_dir;PhosphoSite_noref						PPI
Q01279	Egfr	Q99M51	Nck1	SignaLink3;CancerCellMap;HPRD;BioGRID;IntAct;PhosphoPoint	10026169;9362449;1333047;16273093;25402006;24658140;9843575;8662998	HPRD;BioGRID;IntAct;CancerCellMap	SignaLink3;PhosphoPoint		SignaLink3				PPI
Q01279	Egfr	Q9QXJ1	Apbb1	IntAct;PhosphoPoint	16273093	IntAct	PhosphoPoint						PPI
Q01279	Egfr	P31750	Akt1	BioGRID;PhosphoSite;IntAct	21487020;25402006;24658140	BioGRID;IntAct	ACSN	PhosphoSite_dir;PhosphoSite					PPI
Q01279	Egfr	P63085	Mapk1	phosphoELM;SignaLink3;CancerCellMap;HPRD;MIMP;PhosphoPoint	1651322;1939237;12556561	HPRD;CancerCellMap	KEGG;ACSN	phosphoELM;SignaLink3;MIMP;PhosphoPoint	KEGG			SignaLink3	PPI
Q01279	Egfr	P63318	Prkcg	MIMP				MIMP;ACSN					PPI
Q01279	Egfr	Q9WUI1	Mapk11	Signor;PhosphoSite_noref;MIMP	16932740			PhosphoSite_dir;MIMP;PhosphoSite_noref;Signor;ACSN				Signor	PPI
Q01279	Egfr	Q61140	Bcar1	Li2012			Li2012;KEGG			KEGG			PPI
Q01279	Egfr	A2A863	Itgb4	InnateDB;SignaLink3	19940114	InnateDB		SignaLink3					PPI
Q01279	Egfr	Q62245	Sos1	CancerCellMap;HPRD;BioGRID;IntAct;PhosphoPoint	10675333;9447973;7510700;19531499;19289468;18271526;23956138;24797263;20473329;9544989;26005835	HPRD;BioGRID;IntAct;CancerCellMap	KEGG;ACSN;PhosphoPoint		KEGG				PPI
Q01279	Egfr	P19091	Ar	HPRD;BioGRID;PhosphoPoint;CancerCellMap	15305378;15288768;12534934	HPRD;BioGRID;CancerCellMap	PhosphoPoint	KEGG			KEGG		PPI
Q01279	Egfr	P20444	Prkca	phosphoELM;MIMP;CancerCellMap;HPRD;BioGRID;Signor;IntAct;PhosphoPoint	10816576;1860884;6090944;12878187;25402006;24658140	HPRD;BioGRID;IntAct;CancerCellMap		phosphoELM;MIMP;ACSN;PhosphoPoint;Signor			Signor		PPI
Q01279	Egfr	Q9WUL6	Map3k14	HPRD;PhosphoPoint;CancerCellMap	11116146	HPRD;CancerCellMap		PhosphoPoint					PPI
